Q64449	P01864
Q64449	P01867
Q64449	Q921I1
Q64449	O08677
Q64449	P01837
Q64449	Q00897
Q64449	Q00623
Q64449	Q60823
Q64449	Q5SNZ0
Q64449	Q61147
Q64449	Q8K0E8
Q64449	Q91X72
Q64449	P01868
Q64449	P01869
Q64449	P01872
Q64449	P03987
Q64449	P28665
Q64449	P22599
Q64449	Q9WVH9
Q64449	Q8VCM7
Q64449	P01843
Q64449	P01592
Q64449	P23953
Q64449	P01631
Q64449	P54729
Q64449	P06330
Q64449	P01757
Q64449	P01756
Q64449	P29699
Q64449	Q9JJ59
Q64449	E9PV24
Q64449	P11276
Q64449	Q99MN9
Q64449	Q9ET01
Q64449	Q80XQ2
Q64449	Q3TIR3
Q64449	O35350
Q64449	Q99KQ4
Q64449	Q3U0V1
Q64449	P19157
Q64449	P46425
Q64449	Q8VC30
Q64449	O08576
Q64449	Q9Z2A0
Q64449	O09114
Q64449	P42227
Q64449	Q91YI0
Q64449	Q9ESN6
Q64449	P01635
Q64449	Q6ZPQ6
Q64449	Q9EQH3
Q64449	A2ASS6
Q64449	P60202
Q64449	Q9R0P5
Q64449	Q61292
Q64449	P19137
Q64449	P01027
Q64449	Q80TL7
Q64449	Q9WTR5
Q64449	P23591
Q64449	P34914
Q64449	Q02105
Q64449	Q9D154
Q64449	Q61316
Q64449	Q61730
Q64449	Q9Z2I9
Q64449	P50247
Q64449	Q9D1A2
Q64449	Q61081
Q64449	Q922D8
Q64449	Q9CXW3
Q64449	Q91Y86
Q64449	Q9DCD0
Q64449	O88569
Q64449	Q9JLJ2
Q64449	Q00898
Q64449	Q91ZX7
Q64449	Q99K28
Q64449	P14131
Q64449	P48774
Q64449	P54822
Q64449	O88998
Q64449	P18242
Q64449	Q06890
Q64449	P10493
Q64449	Q6P069
Q64449	Q6P9R2
Q64449	P97315
Q64449	O54941
Q64449	P30416
Q64449	Q11011
Q64449	Q9WU78
Q64449	P62821
Q64449	P29341
Q64449	Q9D892
Q64449	O88844
Q64449	Q8K183
Q9R118	P01864
Q9R118	P01867
Q9R118	Q921I1
Q9R118	O08677
Q9R118	P01837
Q9R118	Q00897
Q9R118	Q00623
Q9R118	Q60823
Q9R118	Q5SNZ0
Q9R118	Q61147
Q9R118	Q8K0E8
Q9R118	Q91X72
Q9R118	P01868
Q9R118	P01869
Q9R118	P01872
Q9R118	P03987
Q9R118	P28665
Q9R118	P22599
Q9R118	Q9WVH9
Q9R118	Q8VCM7
Q9R118	P01843
Q9R118	P01592
Q9R118	P23953
Q9R118	P01631
Q9R118	P54729
Q9R118	P06330
Q9R118	P01757
Q9R118	P01756
Q9R118	P29699
Q9R118	Q9JJ59
Q9R118	E9PV24
Q9R118	P11276
Q9R118	Q99MN9
Q9R118	Q9ET01
Q9R118	Q80XQ2
Q9R118	Q3TIR3
Q9R118	O35350
Q9R118	Q99KQ4
Q9R118	Q3U0V1
Q9R118	P19157
Q9R118	P46425
Q9R118	Q8VC30
Q9R118	O08576
Q9R118	Q9Z2A0
Q9R118	O09114
Q9R118	P42227
Q9R118	Q91YI0
Q9R118	Q9ESN6
Q9R118	P01635
Q9R118	Q6ZPQ6
Q9R118	Q9EQH3
Q9R118	A2ASS6
Q9R118	P60202
Q9R118	Q9R0P5
Q9R118	Q61292
Q9R118	P19137
Q9R118	P01027
Q9R118	Q80TL7
Q9R118	Q9WTR5
Q9R118	P23591
Q9R118	P34914
Q9R118	Q02105
Q9R118	Q9D154
Q9R118	Q61316
Q9R118	Q61730
Q9R118	Q9Z2I9
Q9R118	P50247
Q9R118	Q9D1A2
Q9R118	Q61081
Q9R118	Q922D8
Q9R118	Q9CXW3
Q9R118	Q91Y86
Q9R118	Q9DCD0
Q9R118	O88569
Q9R118	Q9JLJ2
Q9R118	Q00898
Q9R118	Q91ZX7
Q9R118	Q99K28
Q9R118	P14131
Q9R118	P48774
