#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Dgcr8	Hnrnpa2b1	10090.ENSMUSP00000009321	10090.ENSMUSP00000087453	0	0	0	0.982	0.982
Fus	Hnrnpa1	10090.ENSMUSP00000101858	10090.ENSMUSP00000042658	0	0	0.400	0.700	0.812
Fus	Tardbp	10090.ENSMUSP00000101858	10090.ENSMUSP00000081142	0	0.242	0	0.979	0.983
Fus	Hnrnpa2b1	10090.ENSMUSP00000101858	10090.ENSMUSP00000087453	0	0	0.400	0.734	0.833
Fus	Hnrnpf	10090.ENSMUSP00000101858	10090.ENSMUSP00000130023	0	0	0.400	0	0.400
Fus	Ptbp1	10090.ENSMUSP00000101858	10090.ENSMUSP00000126192	0	0	0.400	0.050	0.406
Fus	Hnrnpa3	10090.ENSMUSP00000101858	10090.ENSMUSP00000107595	0	0	0.400	0.131	0.456
Fus	Hnrnpk	10090.ENSMUSP00000101858	10090.ENSMUSP00000112104	0	0.165	0.400	0.044	0.479
Fus	Hnrnpl	10090.ENSMUSP00000101858	10090.ENSMUSP00000133728	0	0.213	0.400	0.130	0.553
Fus	Hnrnpc	10090.ENSMUSP00000101858	10090.ENSMUSP00000107237	0	0	0.400	0.480	0.675
Hnrnpa1	Hnrnpl	10090.ENSMUSP00000042658	10090.ENSMUSP00000133728	0	0.043	0.400	0.162	0.476
Hnrnpa1	Hnrnpf	10090.ENSMUSP00000042658	10090.ENSMUSP00000130023	0	0.304	0.400	0.245	0.657
Hnrnpa1	Tardbp	10090.ENSMUSP00000042658	10090.ENSMUSP00000081142	0	0	0	0.850	0.850
Hnrnpa1	Ptbp1	10090.ENSMUSP00000042658	10090.ENSMUSP00000126192	0	0	0.800	0.289	0.851
Hnrnpa1	Hnrnpc	10090.ENSMUSP00000042658	10090.ENSMUSP00000107237	0	0	0.900	0	0.900
Hnrnpa1	Hnrnpk	10090.ENSMUSP00000042658	10090.ENSMUSP00000112104	0	0.173	0.900	0.061	0.915
Hnrnpa1	Hnrnpa2b1	10090.ENSMUSP00000042658	10090.ENSMUSP00000087453	0	0.048	0.900	0.401	0.938
Hnrnpa1	Hnrnpa3	10090.ENSMUSP00000042658	10090.ENSMUSP00000107595	0	0	0.900	0.464	0.944
Hnrnpa2b1	Tardbp	10090.ENSMUSP00000087453	10090.ENSMUSP00000081142	0	0	0	0.807	0.807
Hnrnpa2b1	Hnrnpk	10090.ENSMUSP00000087453	10090.ENSMUSP00000112104	0	0.368	0.400	0.091	0.625
Hnrnpa2b1	Hnrnpf	10090.ENSMUSP00000087453	10090.ENSMUSP00000130023	0	0.329	0.400	0.154	0.629
Hnrnpa2b1	Ptbp1	10090.ENSMUSP00000087453	10090.ENSMUSP00000126192	0	0.044	0.400	0.612	0.758
Hnrnpa2b1	Hnrnpc	10090.ENSMUSP00000087453	10090.ENSMUSP00000107237	0	0.312	0.400	0.721	0.875
Hnrnpa2b1	Hnrnpl	10090.ENSMUSP00000087453	10090.ENSMUSP00000133728	0	0.232	0.400	0.881	0.940
Hnrnpa2b1	Hnrnpa3	10090.ENSMUSP00000087453	10090.ENSMUSP00000107595	0	0.309	0.900	0.589	0.969
Hnrnpa3	Tardbp	10090.ENSMUSP00000107595	10090.ENSMUSP00000081142	0	0.215	0	0.659	0.720
Hnrnpa3	Hnrnpc	10090.ENSMUSP00000107595	10090.ENSMUSP00000107237	0	0.329	0.900	0.379	0.954
Hnrnpa3	Hnrnpl	10090.ENSMUSP00000107595	10090.ENSMUSP00000133728	0	0.100	0.400	0	0.436
Hnrnpa3	Ptbp1	10090.ENSMUSP00000107595	10090.ENSMUSP00000126192	0	0.074	0.400	0.247	0.545
Hnrnpa3	Hnrnpf	10090.ENSMUSP00000107595	10090.ENSMUSP00000130023	0	0.340	0.400	0	0.587
Hnrnpa3	Hnrnpk	10090.ENSMUSP00000107595	10090.ENSMUSP00000112104	0	0.410	0.900	0	0.938
Hnrnpc	Hnrnpl	10090.ENSMUSP00000107237	10090.ENSMUSP00000133728	0	0.078	0.400	0	0.423
Hnrnpc	Hnrnpf	10090.ENSMUSP00000107237	10090.ENSMUSP00000130023	0	0.277	0.400	0	0.547
Hnrnpc	Ptbp1	10090.ENSMUSP00000107237	10090.ENSMUSP00000126192	0	0.053	0.400	0.724	0.829
Hnrnpc	Hnrnpk	10090.ENSMUSP00000107237	10090.ENSMUSP00000112104	0	0.282	0.900	0.148	0.933
Hnrnpf	Hnrnpk	10090.ENSMUSP00000130023	10090.ENSMUSP00000112104	0	0.418	0.400	0.133	0.670
Hnrnpf	Ptbp1	10090.ENSMUSP00000130023	10090.ENSMUSP00000126192	0	0.224	0.400	0	0.514
Hnrnpf	Hnrnpl	10090.ENSMUSP00000130023	10090.ENSMUSP00000133728	0	0	0.400	0.082	0.425
Hnrnpk	Tardbp	10090.ENSMUSP00000112104	10090.ENSMUSP00000081142	0	0.165	0	0.381	0.461
Hnrnpk	Hnrnpl	10090.ENSMUSP00000112104	10090.ENSMUSP00000133728	0	0.330	0.400	0.079	0.597
Hnrnpk	Ptbp1	10090.ENSMUSP00000112104	10090.ENSMUSP00000126192	0	0	0.400	0.916	0.947
Hnrnpl	Ptbp1	10090.ENSMUSP00000133728	10090.ENSMUSP00000126192	0	0.120	0.400	0.764	0.864
Ptbp1	Tardbp	10090.ENSMUSP00000126192	10090.ENSMUSP00000081142	0	0	0	0.708	0.708
