#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Fkbp5	Ptges3	10090.ENSMUSP00000110440	10090.ENSMUSP00000050292	0	0.367	0.800	0.317	0.906
Fkbp5	Hsp90aa1	10090.ENSMUSP00000110440	10090.ENSMUSP00000091921	0	0.441	0.500	0.983	0.995
Fkbp5	Pgr	10090.ENSMUSP00000110440	10090.ENSMUSP00000140124	0	0	0	0.602	0.602
Fkbp5	Nr3c1	10090.ENSMUSP00000110440	10090.ENSMUSP00000111229	0	0.457	0	0.958	0.976
Fkbp5	Hspa1b	10090.ENSMUSP00000110440	10090.ENSMUSP00000133815	0	0	0.500	0.974	0.986
Hsp90aa1	Hsp90ab1	10090.ENSMUSP00000091921	10090.ENSMUSP00000024739	0	0.308	0.900	0	0.927
Hsp90aa1	Stip1	10090.ENSMUSP00000091921	10090.ENSMUSP00000025918	0	0.568	0.500	0.956	0.989
Hsp90aa1	Ptges3	10090.ENSMUSP00000091921	10090.ENSMUSP00000050292	0	0.509	0.500	0.962	0.989
Hsp90aa1	Nr3c2	10090.ENSMUSP00000091921	10090.ENSMUSP00000105539	0	0.058	0.500	0.465	0.726
Hsp90aa1	Pgr	10090.ENSMUSP00000091921	10090.ENSMUSP00000140124	0	0.058	0.500	0.665	0.828
Hsp90aa1	Hspa1b	10090.ENSMUSP00000091921	10090.ENSMUSP00000133815	0	0.207	0.400	0.984	0.992
Hsp90aa1	Nr3c1	10090.ENSMUSP00000091921	10090.ENSMUSP00000111229	0	0.512	0.500	0.976	0.993
Hsp90ab1	Nr3c2	10090.ENSMUSP00000024739	10090.ENSMUSP00000105539	0	0.304	0.500	0.466	0.798
Hsp90ab1	Pgr	10090.ENSMUSP00000024739	10090.ENSMUSP00000140124	0	0.304	0.500	0.664	0.873
Hsp90ab1	Stip1	10090.ENSMUSP00000024739	10090.ENSMUSP00000025918	0	0.574	0.720	0.956	0.994
Hsp90ab1	Hspa1b	10090.ENSMUSP00000024739	10090.ENSMUSP00000133815	0	0.414	0.400	0.984	0.994
Hsp90ab1	Nr3c1	10090.ENSMUSP00000024739	10090.ENSMUSP00000111229	0	0.626	0.500	0.976	0.995
Hsp90ab1	Ptges3	10090.ENSMUSP00000024739	10090.ENSMUSP00000050292	0	0.646	0.800	0.964	0.997
Hspa1b	Stip1	10090.ENSMUSP00000133815	10090.ENSMUSP00000025918	0	0.298	0.500	0.978	0.991
Hspa1b	Nr3c1	10090.ENSMUSP00000133815	10090.ENSMUSP00000111229	0	0.461	0	0.727	0.846
Nr3c1	Stip1	10090.ENSMUSP00000111229	10090.ENSMUSP00000025918	0	0.412	0	0	0.412
Nr3c1	Ptges3	10090.ENSMUSP00000111229	10090.ENSMUSP00000050292	0	0.512	0.800	0.086	0.903
Nr3c1	Nr3c2	10090.ENSMUSP00000111229	10090.ENSMUSP00000105539	0	0	0.500	0.453	0.714
Nr3c1	Pgr	10090.ENSMUSP00000111229	10090.ENSMUSP00000140124	0	0	0.500	0.079	0.519
Nr3c2	Ptges3	10090.ENSMUSP00000105539	10090.ENSMUSP00000050292	0	0	0.800	0	0.800
Nr3c2	Pgr	10090.ENSMUSP00000105539	10090.ENSMUSP00000140124	0	0	0.500	0	0.499
Pgr	Ptges3	10090.ENSMUSP00000140124	10090.ENSMUSP00000050292	0	0	0.800	0.197	0.832
Ptges3	Stip1	10090.ENSMUSP00000050292	10090.ENSMUSP00000025918	0	0.154	0.720	0	0.752
